stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
03861,,"E 156TH ST & MACAULEY AV",,  41.573319, -81.571997,,,0,
03864,,"E 17TH ST & PAYNE AV",,  41.504686, -81.680813,,,0,
03866,,"E 174TH ST & GROVEWOOD AV",,  41.575943, -81.559035,,,0,
03869,,"E 174TH ST & NOTTINGHAM RD",,  41.580603, -81.559107,,,0,
03870,,"E 174TH ST & NOTTINGHAM RD",,  41.580876, -81.559231,,,0,
03871,,"E 175TH ST & TARKINGTON AV",,  41.431498, -81.556693,,,0,
03872,,"E 177TH ST & GLENDALE AV",,  41.453505, -81.555436,,,0,
03873,,"E 177TH ST & GLENDALE AV",,  41.453238, -81.555305,,,0,
03877,,"E 177TH ST & TARKINGTON AV",,  41.431583, -81.554025,,,0,
03895,,"E 185TH ST & ARROWHEAD AV",,  41.586615, -81.549801,,,0,
03896,,"E 185TH ST & CANTERBURY RD",,  41.591875, -81.549962,,,0,
03897,,"E 185TH ST & EDGERTON RD",,  41.584442, -81.549920,,,0,
03898,,"E 185TH ST & GLENFIELD RD",,  41.580691, -81.549923,,,0,
03899,,"E 185TH ST & KILDEER AV",,  41.585026, -81.549813,,,0,
03904,,"E 185TH ST & LAKESHORE BLVD",,  41.594954, -81.549990,,,0,
03905,,"E 185TH ST & LANDSEER RD",,  41.590107, -81.549951,,,0,
03907,,"E 185TH ST & MOZINA DR",,  41.579565, -81.549929,,,0,
03908,,"E 185TH ST & NEFF RD",,  41.582108, -81.549793,,,0,
03909,,"E 185TH ST & NEFF RD",,  41.582466, -81.549916,,,0,
03910,,"E 185TH ST & PAWNEE AV",,  41.588471, -81.549920,,,0,
03911,,"E 185TH ST & RENWOOD AV",,  41.591487, -81.549832,,,0,
03912,,"E 185TH ST & ROSECLIFF RD",,  41.592700, -81.549837,,,0,
03913,,"E 185TH ST & ROSECLIFF RD",,  41.592973, -81.549975,,,0,
03914,,"E 185TH ST & SCHENELY AV",,  41.586962, -81.549931,,,0,
03915,,"E 185TH ST & SHAWNEE AV",,  41.583201, -81.549785,,,0,
03916,,"E 185TH ST & UNDERWOOD AV",,  41.579704, -81.549806,,,0,
03917,,"E 185TH ST & WINDWARD RD",,  41.589129, -81.549801,,,0,
03922,,"E 200TH ST & BALL AV",,  41.597012, -81.540209,,,0,
03923,,"E 200TH ST & CHEROKEE AV",,  41.585761, -81.540085,,,0,
03924,,"E 200TH ST & CHEROKEE AV",,  41.586037, -81.540198,,,0,
03925,,"E 200TH ST & CHICKASAW AV",,  41.584397, -81.540065,,,0,
03926,,"E 200TH ST & FULLER AV",,  41.597726, -81.540228,,,0,
03927,,"E 200TH ST & FULLER AV",,  41.597998, -81.540341,,,0,
03928,,"E 200TH ST & KEWANEE AV",,  41.583967, -81.540174,,,0,
03929,,"E 200TH ST & KILDEER AV",,  41.585367, -81.540197,,,0,
03931,,"E 200TH ST & LAKESHORE BLVD",,  41.600968, -81.540356,,,0,
03937,,"E 200TH ST & MUSKOKO AV",,  41.587434, -81.540218,,,0,
03939,,"E 200TH ST & NEWTON AV",,  41.595992, -81.540319,,,0,
03940,,"E 200TH ST & ORMISTON AV",,  41.590058, -81.540242,,,0,
03941,,"E 200TH ST & PASNOW AV",,  41.592882, -81.540284,,,0,
03942,,"E 200TH ST & PAWNEE AV",,  41.588814, -81.540223,,,0,
03945,,"E 200TH ST & SHAWNEE AV",,  41.583011, -81.540064,,,0,
03946,,"E 200TH ST & S LAKESHORE BLVD",,  41.599834, -81.540347,,,0,
03947,,"E 200TH ST & ST. CLAIR AV",,  41.579097, -81.539339,,,0,
03948,,"E 200TH ST & ST. CLAIR AV",,  41.578961, -81.539447,,,0,
03952,,"E 21ST ST & EUCLID AV",,  41.502550, -81.675999,,,0,
03954,,"E 22ND ST & CARNEGIE AV",,  41.498982, -81.674028,,,0,
03956,,"E 22ND ST & CENTRAL AV",,  41.497370, -81.673971,,,0,
03957,,"E 22ND ST & CENTRAL AV",,  41.497357, -81.673650,,,0,
03958,,"E 22ND ST & EUCLID AV",,  41.502177, -81.674528,,,0,
03962,,"E 228TH ST & EUCLID AV",,  41.573487, -81.522506,,,0,
03977,,"E 260TH ST & AARON AV",,  41.604019, -81.502994,,,0,
